year,university,faculty,degree_name,employed_%,ft_perm_employed_%,mean_basic_salary_sgd,median_basic_salary_sgd,mean_gross_salary_sgd,median_gross_salary_sgd,p25_gross_salary_sgd,p75_gross_salary_sgd
2024,NTU,College of Engineering,Aerospace Engineering,79.10,78.00,"4,650","4,400","4,722","4,450","4,103","5,250"
2024,NTU,College of Engineering,Bioengineering,72.90,61.40,"4,129","4,000","4,277","4,200","3,700","4,450"
2024,NTU,College of Engineering,Chemical and Biomolecular Engineering,86.80,77.20,"4,279","4,000","4,506","4,200","3,674","5,000"
2024,NTU,College of Engineering,Civil Engineering,93.20,75.80,"4,022","3,950","4,151","4,000","3,523","4,295"
2024,NTU,College of Engineering,Double Degree in Engineering and Economics,92.90,92.90,"5,009","5,000","5,087","5,000","4,200","5,500"
2024,NTU,College of Engineering,Electrical and Electronic Engineering,79.30,76.10,"4,684","4,700","4,824","4,800","4,200","5,155"
2024,NTU,College of Engineering,Environmental Engineering,82.90,80.00,"4,154","4,000","4,367","4,300","3,895","4,950"
2024,NTU,College of Engineering,Information Engineering and Media,94.30,89.00,"4,208","4,040","4,264","4,200","3,850","4,550"
2024,NTU,College of Engineering,Maritime Studies,94.30,88.70,"4,208","4,040","4,264","4,200","3,850","4,550"
2024,NTU,College of Engineering,Materials Engineering,75.90,70.40,"4,263","4,200","4,391","4,329","4,000","4,500"
2024,NTU,College of Engineering,Mechanical Engineering,87.80,83.90,"4,391","4,311","4,675","4,495","4,000","5,000"
2024,NTU,"College of Humanities, Arts & Social Sciences","Art, Design and Media",80.40,47.10,"3,538","3,500","3,606","3,500","3,075","4,000"
2024,NTU,"College of Humanities, Arts & Social Sciences",Chinese,84.10,60.30,"3,783","3,900","3,874","3,900","3,500","4,400"
2024,NTU,"College of Humanities, Arts & Social Sciences",Communication Studies,90.60,70.30,"3,967","3,800","4,059","3,850","3,500","4,500"
2024,NTU,"College of Humanities, Arts & Social Sciences",Economics,93.40,81.30,"4,276","4,000","4,561","4,314","3,400","4,971"
2024,NTU,"College of Humanities, Arts & Social Sciences",English,86.30,54.80,"3,895","3,750","3,926","3,775","3,500","4,100"
2024,NTU,"College of Humanities, Arts & Social Sciences",History,87.20,70.40,"4,105","4,000","4,295","4,200","3,500","4,500"
2024,NTU,"College of Humanities, Arts & Social Sciences",Interdisciplinary Double Major,88.90,87.20,"4,202","4,000","4,253","4,000","3,850","4,570"
2024,NTU,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,85.20,62.30,"3,485","3,200","3,553","3,500","3,000","4,200"
2024,NTU,"College of Humanities, Arts & Social Sciences",Philosophy,78.40,75.00,"3,864","3,982","4,056","4,050","3,400","4,760"
2024,NTU,"College of Humanities, Arts & Social Sciences",Psychology,89.70,68.90,"3,984","4,000","4,244","4,000","3,540","4,660"
2024,NTU,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,89.20,69.10,"3,879","4,000","4,055","4,000","3,600","4,500"
2024,NTU,"College of Humanities, Arts & Social Sciences",Sociology,88.20,69.10,"3,879","4,000","4,055","4,000","3,600","4,500"
2024,NTU,College of Science,Biological Sciences and Psychology,85.00,70.00,"3,930","3,900","3,969","3,900","3,720","4,125"
2024,NTU,College of Science,Biological and Biomedical Sciences,77.80,67.60,"3,958","3,900","4,089","3,980","3,800","4,300"
2024,NTU,College of Science,Biomedical Sciences and Chinese Medicine,100.00,85.70,"3,298","3,484","3,388","3,485","3,200","3,500"
2024,NTU,College of Science,Chemistry and Biological Chemistry,80.00,70.80,"3,952","3,800","4,088","3,980","3,600","4,480"
2024,NTU,College of Science,Environmental Earth Systems Science,88.90,81.50,"4,588","4,487","4,628","4,500","4,200","5,000"
2024,NTU,College of Science,Mathematical Sciences,76.60,70.20,"4,612","4,350","4,703","4,379","4,000","5,000"
